icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
SSDK,,Fazenda Vista Alegre Airport,Novo Horizonte Do Sul,Mato-Grosso-do-Sul,BR,1099,-22.59777832,-53.69083405,America/Campo_Grande,
SSDL,,Fazenda Ribeirao Airport,Ribeirao Goncalves,Piauí,BR,1588,-8.006388664,-45.33805466,America/Fortaleza,
SSDM,,Aeroclube de Santana do Livramento Airport,Santana Do Livramento,Rio Grande do Sul,BR,1073,-30.82222176,-55.57638931,America/Sao_Paulo,
SSDN,,Fazenda Galileia Airport,Baixa Grande Do Ribeiro,Piauí,BR,1932,-9.1044,-45.41666794,America/Araguaina,
SSDO,DOU,Dourados Airport,Dourados,Mato-Grosso-do-Sul,BR,1503,-22.20190048,-54.92660141,America/Campo_Grande,
SSDP,,Fazenda Fortaleza do Guapore Airport,Vila Bela Da Santissima Trindade,Mato Grosso do Sul,BR,738,-14.45944405,-60.17805481,America/Cuiaba,
SSDQ,,Fazenda Marema Airport,Miranda,Mato-Grosso-do-Sul,BR,446,-20.1827774,-56.63583374,America/Campo_Grande,
SSDS,,Fazenda Bandeirantes Airport,Nova Crixas,Goiás,BR,935,-13.70722198,-50.64777756,America/Sao_Paulo,
SSDT,,Fazenda Pau D`Arco Airport,Redencao,Pará,BR,794,-7.943611145,-50.17638779,America/Belem,
SSDU,,Fazenda Modelo Airport,Pedro Gomes,Mato-Grosso-do-Sul,BR,1309,-17.99166679,-54.22360992,America/Campo_Grande,
SSDV,,Fazenda Santa Maria Airport,Coxim,Mato-Grosso-do-Sul,BR,508,-18.21611023,-55.46527863,America/Campo_Grande,
SSDW,,Fazenda Potrich Airport,Sorriso,Mato Grosso do Sul,BR,1197,-12.9244442,-55.51916885,America/Cuiaba,
SSDX,,Fazenda da Coxilha Airport,Camaqua,Rio Grande do Sul,BR,33,-31,-51.70055771,America/Sao_Paulo,
SSDY,,Fazenda Duas Irmas Airport,Guiratinga,,BR,1410,-16.15666667,-53.00972222,America/Cuiaba,
SSDZ,,Fazenda Divisao Airport,Amambai,Mato-Grosso-do-Sul,BR,1312,-23.13388824,-54.63388824,America/Campo_Grande,
SSED,,Fazenda Escalada Airport,Pedro Gomes,Mato-Grosso-do-Sul,BR,1132,-17.95666695,-54.41916656,America/Campo_Grande,
SSEE,,Regional do Vale do Taquari Airport,Estrela,Rio Grande do Sul,BR,105,-29.4533329,-51.93416595,America/Sao_Paulo,
SSEF,,Fazenda Passaredo Airport,Cajuru,São Paulo,BR,4632,-21.326944,-47.231111,America/Sao_Paulo,
SSEG,,Estancia da Gruta Airport,Pelotas,Rio Grande do Sul,BR,33,-31.94249916,-52.4794426,America/Sao_Paulo,
